"profID","courseCode","userRole","academicYear","","","","","","","","","","","","","","","","","","",""
"UNI0018","GEOL415","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0015","TRALT405","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0016","GEOL425","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0015","GEOL410","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0028","GEOL410","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0018","GEOL552","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0036","GEOL551","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0021","GEOL515","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0039","SSHA401","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0055","GEOL502","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0023","GEOL503","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0055","GEOL441","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0036","GEOL554","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0036","GEOL553","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0055","PROJ551","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0013","GEOL440","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0041","PROJ550","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0027","SSHA410","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0041","STAG502","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0021","GEOL515","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0039","SSHA401","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0055","GEOL502","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0039","GEOL502","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0023","GEOL503","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0015","GEOL544","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0006","GEOPH501","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0018","GEOT515","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0036","HYDR572","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0046","MECA501","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0018","MODE555","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0018","PROJ505","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0041","PROJ550","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0027","SSHA410","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0041","STAG502","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0018","TUNN511","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0028","GEOL502","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0021","GEOL515","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0039","SSHA401","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0039","GEOL502","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0006","GEOL543","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0006","GEOL542","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0006","GEOL541","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0022","PROJ542","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0055","PROJ541","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0013","PROJ543","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0003","GEOL512","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0041","PROJ550","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0027","SSHA410","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0041","STAG502","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0028","GEOL502","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
